2016-11-08 9:37:31 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 255
2016-11-08 9:37:31 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 257
2016-11-08 9:37:31 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 258
2016-11-08 9:38:13 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:38:47 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 149
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 151
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 157
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 163
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 164
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 166
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
